                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0729,                  4.499,                 1.6939,                0.00268,                0.34994,                0.04702,                0.03006,                 1.5284,                 3.7564,                 1.2953,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.5307,                 3.0547,                 1.2932,                0.00256,                0.44062,                0.12516,                 0.0796,                 1.3889,                 3.4597,                 1.1375,             0.00037076,             0.00037076,             0.00037076
                      3,                 1.4574,                 2.6109,                 1.2125,                 0.0023,                0.36631,                0.09353,                 0.0587,                 1.4576,                 3.5042,                 1.2453,             0.00054494,             0.00054494,             0.00054494
                      4,                  1.507,                 2.7273,                 1.2284,                0.00131,                0.14576,                0.04347,                  0.027,                 1.5124,                 3.4169,                 1.2798,             0.00070592,             0.00070592,             0.00070592
                      5,                 1.4338,                 2.3688,                 1.2117,                0.00351,                0.46607,                0.10324,                 0.0602,                 1.4742,                 3.0753,                 1.2353,              0.0008537,              0.0008537,              0.0008537
                      6,                 1.3254,                 2.2316,                 1.1713,                0.28835,                0.14147,                0.11808,                0.06043,                 1.5823,                 2.9146,                 1.3472,             0.00098828,             0.00098828,             0.00098828
                      7,                 1.4615,                 2.2993,                 1.2036,                0.37616,                0.20986,                0.24075,                0.12536,                 1.5584,                 2.5989,                 1.3349,              0.0011097,              0.0011097,              0.0011097
                      8,                 1.4637,                 2.0287,                 1.2036,                0.31502,                0.32987,                0.27352,                0.15073,                 1.5322,                 2.4243,                 1.2532,              0.0012178,              0.0012178,              0.0012178
                      9,                 1.4102,                 1.8839,                  1.221,                0.48132,                 0.3481,                0.30912,                0.17331,                 1.5181,                 2.5122,                 1.2202,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.4031,                 1.8921,                 1.1742,                0.57525,                0.56284,                0.47072,                0.27489,                 1.4952,                 2.0135,                 1.2137,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.3432,                 1.8149,                 1.1696,                0.68251,                0.55806,                0.62596,                0.38756,                 1.4763,                 1.7462,                 1.2262,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.3381,                 1.7534,                 1.1756,                0.60565,                0.54934,                0.58092,                0.33496,                 1.4738,                 1.8706,                 1.2409,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.4118,                 1.7202,                 1.1298,                0.81504,                0.51938,                0.69086,                0.40593,                 1.4655,                 1.5077,                 1.2378,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.3693,                 1.5967,                 1.2069,                0.86589,                0.54159,                  0.727,                0.44461,                 1.4637,                 1.4261,                 1.2413,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.3117,                 1.4458,                 1.1717,                0.89312,                0.54358,                0.68358,                0.40096,                 1.3922,                 1.4178,                 1.1875,             0.00089685,             0.00089685,             0.00089685
                     16,                  1.203,                 1.3802,                 1.1424,                0.76545,                0.64513,                0.69895,                0.41852,                  1.409,                  1.373,                 1.1894,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.3086,                  1.436,                 1.1363,                0.87158,                0.68528,                0.77203,                0.44823,                 1.4197,                 1.2871,                 1.2088,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.2939,                 1.3406,                 1.1745,                 0.8838,                0.66571,                0.77455,                0.45299,                 1.4209,                 1.2556,                  1.175,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.3947,                 1.4218,                 1.1661,                0.81082,                0.75725,                0.78156,                0.47675,                 1.3887,                 1.2862,                 1.1716,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.2861,                  1.328,                 1.1108,                0.89947,                0.73606,                0.79376,                0.47233,                 1.3839,                 1.2473,                 1.1946,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.2154,                 1.2895,                 1.1174,                0.77317,                0.70721,                  0.759,                0.46341,                 1.3976,                 1.2552,                 1.1711,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.1934,                  1.321,                 1.1016,                0.87776,                0.71025,                0.78086,                0.48215,                 1.3978,                 1.2267,                 1.1521,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.1995,                 1.2663,                 1.1006,                 0.8852,                0.74088,                0.79251,                0.49047,                  1.339,                 1.1877,                 1.1446,             0.00045676,             0.00045676,             0.00045676
                     24,                 1.1242,                 1.2274,                  1.076,                0.93017,                0.72227,                0.81002,                0.50575,                   1.33,                 1.1183,                  1.134,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.0711,                 1.1585,                 1.0424,                0.83502,                0.75414,                0.82058,                0.51039,                 1.3487,                  1.094,                  1.129,             0.00034674,             0.00034674,             0.00034674
                     26,                 1.0958,                 1.1599,                 1.0425,                0.90483,                0.80512,                0.85317,                0.52054,                 1.3366,                 1.0631,                 1.1259,             0.00029172,             0.00029172,             0.00029172
                     27,                 1.1179,                 1.1288,                 1.0434,                0.94835,                 0.7913,                0.85967,                0.52526,                 1.3567,                 1.0466,                 1.1384,             0.00023671,             0.00023671,             0.00023671
                     28,                  1.076,                 1.0849,                 1.0197,                0.93335,                0.81227,                0.87368,                0.54381,                 1.3425,                 1.0283,                 1.1254,              0.0001817,              0.0001817,              0.0001817
                     29,                 1.0687,                 1.0719,                0.99828,                0.89898,                0.81505,                0.86772,                0.53899,                 1.3397,                 1.0187,                 1.1247,             0.00012669,             0.00012669,             0.00012669
                     30,                 1.0535,                 1.0457,                 1.0095,                0.90013,                0.80956,                0.86547,                0.53598,                 1.3428,                  1.016,                 1.1238,             7.1681e-05,             7.1681e-05,             7.1681e-05
