                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0729,                  4.499,                 1.6939,                0.00268,                0.34994,                0.04702,                0.03006,                 1.5284,                 3.7564,                 1.2953,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.5385,                 3.0622,                 1.2974,                 0.0022,                0.36631,                0.11218,                0.07179,                    1.4,                 3.4704,                 1.1387,             0.00037582,             0.00037582,             0.00037582
                      3,                 1.4563,                 2.5743,                  1.234,                0.00246,                0.39857,                0.09094,                0.04776,                 1.3919,                 3.4496,                 1.1805,             0.00056035,             0.00056035,             0.00056035
                      4,                 1.4971,                 2.6754,                 1.2311,                      1,                0.03166,                0.06191,                0.03865,                 1.4589,                 3.2973,                 1.2025,             0.00073695,             0.00073695,             0.00073695
                      5,                 1.4127,                 2.3439,                 1.1896,                0.54259,                0.04662,                0.23378,                0.12409,                 1.4313,                 2.9783,                 1.2334,             0.00090563,             0.00090563,             0.00090563
                      6,                 1.3539,                 2.2496,                 1.2091,                0.46122,                0.13835,                0.25761,                 0.1378,                  1.562,                 2.8406,                 1.2873,              0.0010664,              0.0010664,              0.0010664
                      7,                 1.5251,                 2.3136,                 1.2367,                0.57554,                0.30421,                0.36121,                0.21027,                 1.5272,                 2.5621,                 1.3571,              0.0012192,              0.0012192,              0.0012192
                      8,                 1.4678,                 1.9551,                 1.2534,                0.82211,                0.42362,                0.56668,                  0.318,                 1.5159,                 2.1748,                 1.2814,              0.0013642,              0.0013642,              0.0013642
                      9,                 1.4821,                 1.8633,                 1.2365,                0.89993,                0.47873,                 0.5682,                0.32217,                 1.5228,                 1.9647,                 1.2362,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.4113,                  1.909,                  1.174,                0.83236,                0.42557,                0.50795,                0.28676,                 1.5067,                 1.9198,                 1.2881,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3518,                 1.7806,                 1.1952,                0.61637,                0.61454,                0.65798,                0.38615,                 1.4943,                 1.6043,                 1.2924,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3777,                  1.715,                 1.2391,                0.62933,                0.56786,                0.60867,                0.34263,                 1.5086,                  1.748,                   1.33,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.4546,                 1.7297,                 1.1782,                0.74629,                0.56786,                0.66158,                0.37392,                 1.4685,                  1.646,                 1.2734,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.4091,                 1.5866,                   1.22,                0.73084,                0.62103,                0.66064,                0.37954,                 1.5389,                 1.7744,                 1.3203,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3412,                 1.4399,                 1.1728,                0.85444,                0.68292,                0.76011,                0.42125,                 1.4755,                 1.5545,                 1.2782,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2913,                 1.4236,                 1.1589,                0.84664,                 0.6075,                0.73952,                0.42241,                 1.4702,                 1.3656,                 1.2208,              0.0011719,              0.0011719,              0.0011719
                     17,                  1.385,                 1.4734,                 1.1994,                0.70695,                0.64827,                0.71195,                0.39776,                 1.4769,                 1.3453,                 1.2899,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.3812,                 1.4217,                 1.2383,                0.76676,                0.61123,                0.70413,                0.39414,                 1.4874,                 1.3498,                 1.2361,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.4431,                 1.4786,                 1.2057,                0.73726,                0.71171,                 0.7271,                0.42596,                 1.4518,                 1.2795,                 1.2186,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.3417,                 1.3624,                 1.1521,                0.71088,                0.70645,                0.72247,                 0.4275,                  1.408,                 1.3137,                 1.2169,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.3325,                   1.36,                  1.166,                0.80989,                0.77217,                0.80102,                0.45604,                 1.4289,                 1.1558,                 1.2297,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.3369,                 1.1833,                 1.1605,                 0.8453,                0.72376,                0.79994,                0.46996,                 1.3516,                 1.1223,                 1.1928,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.3206,                 1.2342,                 1.1877,                0.83157,                0.77706,                0.84692,                0.49215,                 1.3888,                 1.0961,                 1.1973,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.2346,                 1.1881,                 1.1495,                0.88948,                0.76948,                0.83866,                0.46636,                 1.4356,                 1.0753,                 1.2265,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.2369,                 1.0887,                 1.1146,                0.93571,                0.78432,                0.85274,                0.48761,                  1.393,                 1.0649,                  1.192,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.2491,                 1.0477,                 1.1364,                0.89959,                0.81102,                0.87374,                0.50256,                  1.386,                 1.0122,                 1.1755,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.2634,                 1.1502,                 1.1141,                 0.8453,                0.77336,                 0.8603,                0.45698,                 1.4569,                 1.0009,                 1.2174,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.1794,                 1.0337,                 1.1068,                0.94276,                0.73369,                0.84962,                0.48086,                  1.413,                0.97881,                 1.2125,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.2058,                  1.093,                 1.1244,                0.95337,                0.73369,                0.83251,                0.49409,                 1.3876,                0.98828,                 1.1932,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.1545,                0.96406,                 1.0908,                0.93967,                0.72837,                0.85308,                0.49979,                 1.4064,                0.96852,                 1.2062,             0.00070981,             0.00070981,             0.00070981
