               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07604,            0.031656,                   0,             0.38393,             0.60946,             0.35892,              0.1232,             0.05108,             0.01901,                   0,            0.070075,            0.003325,            0.003325
                   1,            0.053514,            0.023773,                   0,             0.52945,             0.72154,             0.62698,             0.25188,            0.041815,             0.01381,                   0,            0.039965,           0.0065485,           0.0065485
                   2,            0.050188,            0.020985,                   0,             0.69838,             0.77452,             0.78427,             0.35826,            0.037409,            0.013975,                   0,           0.0097449,            0.009662,            0.009662
                   3,            0.044268,            0.020708,                   0,             0.87178,              0.7978,             0.88309,             0.42506,            0.036391,            0.013413,                   0,            0.009505,            0.009505,            0.009505
                   4,            0.040229,            0.020705,                   0,             0.90481,             0.84897,             0.91388,              0.4395,            0.034856,            0.012956,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.037164,            0.018365,                   0,             0.89895,             0.83012,             0.90025,             0.42493,              0.0339,            0.013206,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.038225,            0.020131,                   0,             0.93215,             0.84212,             0.92681,             0.45714,             0.03217,            0.013083,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.036509,            0.019067,                   0,              0.9315,             0.88122,             0.93533,             0.47904,            0.030626,            0.013063,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.034609,            0.019203,                   0,             0.91081,             0.84053,              0.9136,             0.45843,            0.032156,            0.013094,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.033477,            0.019139,                   0,             0.90693,             0.87916,             0.92814,             0.42042,            0.032341,            0.012702,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.033753,            0.019437,                   0,             0.94786,             0.88441,             0.94253,             0.48058,             0.03062,            0.012752,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.033635,            0.017941,                   0,             0.92535,             0.87566,             0.92862,             0.46949,            0.031264,            0.012893,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.031758,            0.018543,                   0,             0.92248,             0.89609,             0.95015,             0.49408,            0.029788,            0.012616,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.031322,            0.017991,                   0,             0.94309,             0.89976,             0.94867,             0.49119,            0.030309,            0.012544,                   0,             0.00802,             0.00802,             0.00802
                  14,             0.03038,            0.018077,                   0,             0.94047,             0.88531,             0.93685,             0.46973,             0.03015,            0.012746,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.030981,            0.017489,                   0,             0.93568,             0.87916,             0.93437,             0.48733,             0.02974,            0.012852,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.030585,            0.017889,                   0,             0.93641,             0.88441,             0.94458,             0.48852,            0.029273,            0.012769,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.029547,            0.018123,                   0,             0.92583,             0.88792,             0.93549,              0.4837,            0.029897,            0.012745,                   0,             0.00736,             0.00736,             0.00736
                  18,             0.02921,            0.017235,                   0,             0.95354,             0.86266,             0.93706,             0.48796,            0.029848,             0.01292,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.029201,            0.017479,                   0,             0.94262,              0.8919,             0.94458,             0.48837,            0.029515,            0.012557,                   0,             0.00703,             0.00703,             0.00703
                  20,            0.029512,            0.017548,                   0,             0.92197,             0.91045,              0.9437,             0.50764,            0.029805,            0.012402,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.029388,            0.017125,                   0,             0.90699,             0.85814,             0.91987,             0.46763,            0.031008,            0.012525,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.028168,            0.017077,                   0,             0.92911,             0.89517,             0.94426,             0.49173,            0.029464,            0.012519,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.029097,            0.017188,                   0,             0.94018,             0.87566,             0.93749,              0.4822,            0.029711,            0.012685,                   0,             0.00637,             0.00637,             0.00637
                  24,            0.028377,            0.016865,                   0,             0.91776,             0.88091,             0.93691,             0.49127,            0.028983,            0.012794,                   0,            0.006205,            0.006205,            0.006205
                  25,            0.027639,            0.016995,                   0,              0.9437,             0.88441,             0.93909,             0.49948,            0.029176,            0.012725,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.027443,            0.016953,                   0,             0.93829,             0.87879,             0.92784,             0.49056,            0.029737,             0.01298,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.027762,            0.015682,                   0,             0.95081,             0.88024,             0.94019,             0.49591,            0.029668,            0.013031,                   0,             0.00571,             0.00571,             0.00571
                  28,            0.026593,            0.016305,                   0,             0.93027,             0.89142,             0.93207,             0.45897,            0.030564,            0.013167,                   0,            0.005545,            0.005545,            0.005545
                  29,            0.027473,            0.016283,                   0,             0.92585,             0.89661,             0.92971,             0.48491,            0.029908,            0.013057,                   0,             0.00538,             0.00538,             0.00538
                  30,             0.02651,            0.016569,                   0,             0.93368,             0.89317,             0.93329,             0.48581,            0.030546,            0.012995,                   0,            0.005215,            0.005215,            0.005215
                  31,            0.026899,            0.016155,                   0,             0.95663,             0.88841,             0.94212,             0.49693,            0.029235,            0.013077,                   0,             0.00505,             0.00505,             0.00505
                  32,            0.026195,            0.015769,                   0,             0.93947,             0.89701,             0.94592,              0.4956,            0.029105,            0.012868,                   0,            0.004885,            0.004885,            0.004885
                  33,            0.026327,            0.015483,                   0,             0.90429,             0.89357,             0.93046,             0.47178,            0.029732,             0.01303,                   0,             0.00472,             0.00472,             0.00472
                  34,            0.025173,            0.015451,                   0,             0.92811,             0.90433,             0.94069,             0.49296,            0.029403,             0.01289,                   0,            0.004555,            0.004555,            0.004555
                  35,            0.025423,            0.015668,                   0,             0.92635,             0.89142,             0.94345,             0.49771,            0.028441,             0.01295,                   0,             0.00439,             0.00439,             0.00439
                  36,            0.025552,            0.015737,                   0,             0.92339,              0.8866,             0.94219,             0.49544,            0.029113,            0.012941,                   0,            0.004225,            0.004225,            0.004225
                  37,            0.025164,            0.015216,                   0,             0.91439,             0.91656,              0.9479,             0.50884,            0.028733,            0.012667,                   0,             0.00406,             0.00406,             0.00406
                  38,            0.024871,            0.016025,                   0,             0.94389,             0.88387,             0.94643,             0.51468,            0.028825,             0.01309,                   0,            0.003895,            0.003895,            0.003895
                  39,            0.024536,            0.015553,                   0,             0.91899,             0.89842,              0.9406,             0.48082,            0.029707,            0.013059,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.024563,            0.015245,                   0,             0.92917,             0.89599,             0.94994,             0.50328,            0.028821,             0.01298,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.025333,            0.015482,                   0,             0.93091,             0.89671,             0.94178,             0.48247,            0.029595,            0.013116,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.024095,            0.015064,                   0,             0.94809,             0.89554,              0.9435,              0.5015,            0.028946,            0.012913,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.024705,            0.015396,                   0,             0.92831,             0.90018,             0.93973,             0.48962,            0.029582,            0.013082,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.024465,            0.014808,                   0,             0.94601,             0.88967,             0.93909,             0.49331,            0.029205,            0.013071,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.023116,             0.01423,                   0,             0.96525,             0.88441,             0.94752,             0.48682,            0.029321,             0.01338,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.024093,            0.014537,                   0,             0.96349,             0.87816,             0.93478,             0.49505,            0.028973,            0.013553,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.023318,            0.015002,                   0,             0.93994,             0.90447,             0.93735,             0.49993,            0.029257,             0.01315,                   0,             0.00241,             0.00241,             0.00241
                  48,              0.0234,            0.014826,                   0,             0.94742,             0.88354,             0.93536,             0.47855,            0.029695,            0.013409,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.022856,            0.014877,                   0,              0.9359,             0.89495,             0.93722,             0.49754,            0.029291,            0.013336,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.022614,            0.014634,                   0,             0.96188,              0.8704,             0.93036,             0.48796,             0.02902,            0.013616,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.023596,            0.014828,                   0,             0.96363,             0.88175,             0.94164,             0.49689,             0.02916,            0.013443,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.022122,             0.01393,                   0,              0.9346,             0.90092,             0.93962,             0.49983,            0.028981,            0.013397,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.022052,            0.013844,                   0,             0.93532,             0.88636,             0.93455,             0.50219,            0.029274,            0.013782,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.022216,            0.014253,                   0,              0.9373,             0.88616,             0.93187,             0.49065,            0.029274,            0.013688,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.022307,            0.014386,                   0,             0.93225,              0.8916,             0.93346,             0.48881,            0.029186,            0.013659,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.021783,            0.013909,                   0,             0.93164,             0.90543,             0.93589,             0.49505,            0.029256,            0.013595,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.021942,            0.014223,                   0,             0.94404,             0.88266,             0.93476,             0.50022,            0.028882,            0.013728,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.021291,            0.014026,                   0,             0.94622,             0.89356,             0.93423,             0.48918,            0.029163,            0.013718,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.021694,            0.013597,                   0,             0.93684,             0.90018,             0.93874,             0.50502,            0.028707,            0.013662,                   0,             0.00043,             0.00043,             0.00043
