                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0729,                  4.499,                 1.6939,                0.00268,                0.34994,                0.04702,                0.03006,                 1.5284,                 3.7564,                 1.2953,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.5279,                 3.0549,                 1.2932,                0.00252,                0.43692,                0.12418,                0.07823,                 1.3869,                 3.4656,                 1.1398,             0.00036443,             0.00036443,             0.00036443
                      3,                 1.4565,                 2.5961,                 1.2136,                 0.0033,                0.60669,                0.10404,                0.06076,                 1.3932,                 3.3956,                 1.1977,             0.00052569,             0.00052569,             0.00052569
                      4,                 1.5158,                  2.698,                 1.2335,                0.39972,                0.06125,                0.09127,                0.05136,                 1.5282,                  3.305,                 1.2692,             0.00066714,             0.00066714,             0.00066714
                      5,                 1.4123,                 2.3383,                 1.2159,                0.56494,                0.05133,                 0.2906,                0.17216,                 1.4606,                 2.8288,                 1.2592,             0.00078879,             0.00078879,             0.00078879
                      6,                 1.3536,                 2.2471,                 1.1925,                0.61833,                0.04369,                0.29678,                0.16687,                 1.5409,                 2.8183,                 1.3024,             0.00089064,             0.00089064,             0.00089064
                      7,                 1.4638,                 2.1953,                 1.2029,                0.54677,                0.25711,                0.31386,                0.20151,                 1.4145,                 2.4745,                 1.2322,             0.00097268,             0.00097268,             0.00097268
                      8,                 1.4104,                 1.9286,                 1.1926,                0.34801,                0.26317,                0.32358,                0.20091,                 1.4457,                  2.422,                 1.2083,              0.0010349,              0.0010349,              0.0010349
                      9,                 1.4003,                 1.8932,                 1.2058,                0.57353,                 0.4557,                0.45384,                0.25945,                 1.4645,                 2.1373,                 1.2141,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.3619,                 1.9048,                 1.1612,                0.62809,                0.55104,                0.62468,                0.37108,                 1.4077,                 1.7342,                 1.2079,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.3472,                 2.0008,                 1.2162,                0.73403,                0.63625,                0.72383,                0.43452,                 1.4068,                  1.656,                 1.2301,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.3426,                 1.9425,                 1.1818,                0.82181,                0.68053,                0.73745,                0.44831,                 1.4606,                 1.5477,                 1.2735,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.2537,                 1.7846,                 1.1547,                0.76859,                0.64588,                0.73005,                0.42259,                 1.4094,                 1.4473,                 1.1914,              0.0006768,              0.0006768,              0.0006768
                     14,                  1.246,                 1.7022,                 1.1308,                0.89081,                0.62473,                0.74383,                0.45054,                 1.3671,                 1.3956,                 1.1768,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.2023,                 1.6574,                 1.1087,                0.86176,                0.72356,                0.80232,                0.51041,                 1.3393,                 1.2721,                 1.1604,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.2019,                 1.5813,                 1.1075,                0.87873,                0.76225,                0.84589,                0.53175,                 1.3419,                 1.2038,                 1.1537,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.1487,                 1.4382,                 1.0458,                0.91417,                0.76225,                0.85477,                0.54322,                 1.3249,                  1.163,                 1.1261,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.2148,                 1.4736,                 1.0913,                 0.8995,                0.76905,                0.83868,                0.55446,                  1.306,                 1.1714,                 1.1167,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.1106,                 1.3892,                 1.0162,                0.88743,                0.78101,                0.82991,                0.53315,                 1.2998,                 1.1725,                 1.1184,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.1405,                  1.391,                 1.0601,                0.90729,                0.78398,                0.83173,                0.53781,                 1.3044,                 1.1607,                 1.1219,             9.9187e-05,             9.9187e-05,             9.9187e-05
