               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07604,            0.031656,                   0,             0.38393,             0.60946,             0.35892,              0.1232,             0.05108,             0.01901,                   0,            0.070075,            0.003325,            0.003325
                   1,            0.053539,              0.0238,                   0,             0.66468,             0.78804,             0.74552,             0.32261,            0.040609,            0.014189,                   0,             0.03991,           0.0064936,           0.0064936
                   2,            0.049926,            0.021205,                   0,             0.77276,             0.77408,             0.83038,             0.37412,            0.039355,            0.013563,                   0,             0.00958,           0.0094971,           0.0094971
                   3,            0.044843,            0.020819,                   0,             0.85603,             0.80736,             0.87743,             0.45095,            0.035255,            0.013828,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.040168,            0.021404,                   0,             0.89981,             0.81788,             0.90346,             0.43123,             0.03356,            0.013279,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.037279,             0.01859,                   0,             0.90095,             0.83363,             0.91452,             0.45079,            0.032437,            0.012908,                   0,             0.00901,             0.00901,             0.00901
                   6,             0.03825,            0.020121,                   0,             0.92726,             0.87215,             0.93249,             0.48238,            0.030818,            0.012642,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.036074,            0.019319,                   0,             0.94286,             0.86515,             0.92466,             0.49141,            0.029803,            0.012852,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.034569,            0.019192,                   0,             0.92199,             0.85639,             0.91551,             0.41746,             0.03464,            0.012809,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.033076,            0.018861,                   0,             0.89028,             0.88108,             0.92532,             0.49837,            0.030012,            0.012642,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.033228,             0.01925,                   0,             0.92393,             0.86865,             0.92901,             0.47397,            0.031444,            0.013085,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.033185,            0.017903,                   0,             0.94748,             0.85307,             0.93093,             0.48405,            0.030415,            0.012686,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.032041,            0.018595,                   0,             0.93164,             0.88314,             0.93853,             0.48662,            0.030709,            0.012525,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.031097,            0.018177,                   0,             0.94185,             0.88792,             0.94133,             0.50151,            0.029723,             0.01267,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.030176,            0.017917,                   0,             0.93913,             0.89165,             0.94333,             0.47363,            0.029894,            0.012843,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.030442,            0.017356,                   0,             0.92309,             0.91068,             0.94782,             0.50622,            0.028965,            0.012432,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.030259,            0.017732,                   0,             0.92381,             0.89142,             0.94265,             0.49675,             0.02899,            0.012719,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.029337,            0.017886,                   0,             0.93545,             0.89492,             0.94721,             0.48655,            0.029158,             0.01239,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.029143,             0.01718,                   0,             0.93786,             0.87228,             0.94014,             0.48205,            0.029351,            0.012478,                   0,           0.0057925,           0.0057925,           0.0057925
