                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8986,                0.45829,                 1.1377,                0.93583,                0.79173,                0.90061,                0.47049,                  1.751,                0.88126,                 1.6464,             0.00065359,             0.00065359,             0.00065359
                      2,                0.98191,                0.50392,                 1.1726,                 0.9001,                0.74081,                0.83655,                 0.4107,                 1.8747,                 1.0639,                 1.7465,              0.0012941,              0.0012941,              0.0012941
                      3,                 1.0785,                0.57626,                 1.2251,                0.86918,                0.73555,                0.83852,                0.40877,                 1.8292,                 1.0655,                  1.686,              0.0019082,              0.0019082,              0.0019082
                      4,                 1.1371,                0.63411,                  1.271,                0.88718,                0.74367,                0.83866,                0.40899,                 1.7973,                 1.0392,                 1.6706,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2021,                0.65655,                 1.3175,                0.88644,                0.72504,                0.81216,                0.39753,                 1.8166,                 1.0676,                 1.6575,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1831,                0.62789,                  1.302,                0.83722,                0.78984,                 0.8562,                 0.3966,                 1.8836,                0.92471,                 1.7072,               0.001802,               0.001802,               0.001802
                      7,                 1.1844,                0.64149,                 1.2947,                0.91496,                0.74606,                0.84244,                0.41487,                 1.7792,                0.93307,                 1.6293,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1749,                0.64571,                 1.3053,                0.85778,                0.76007,                0.83225,                0.40379,                 1.8329,                0.93834,                    1.7,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1576,                0.63992,                 1.2911,                0.89865,                 0.8021,                0.87326,                0.44298,                 1.8223,                0.91604,                   1.66,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1543,                0.64622,                 1.2975,                 0.8986,                0.76883,                0.86478,                0.43699,                 1.7721,                0.95969,                 1.6301,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1591,                0.63096,                 1.2942,                 0.8828,                0.76532,                0.85046,                0.42339,                 1.8197,                0.92526,                 1.7032,               0.001604,               0.001604,               0.001604
                     12,                 1.1273,                0.61087,                 1.2667,                0.88647,                 0.8068,                0.88604,                0.44587,                 1.8087,                0.86579,                 1.6878,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1342,                0.61845,                 1.2948,                0.90347,                0.78681,                0.87484,                0.43601,                 1.7789,                0.89082,                  1.628,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1387,                0.62259,                  1.276,                0.89778,                0.75368,                 0.8668,                0.42543,                  1.794,                0.93051,                 1.6528,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0959,                0.59473,                 1.2535,                0.88265,                0.77058,                0.85166,                0.43844,                 1.7692,                0.97248,                 1.6368,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0809,                0.58829,                 1.2305,                0.90689,                0.78466,                0.88253,                 0.4374,                 1.8108,                0.92574,                   1.68,               0.001406,               0.001406,               0.001406
                     17,                  1.073,                0.55338,                 1.2218,                0.88725,                0.78552,                0.86933,                  0.443,                 1.7841,                 1.0153,                 1.6565,              0.0013664,              0.0013664,              0.0013664
                     18,                   1.07,                0.56559,                 1.2466,                0.89083,                0.77058,                0.86179,                0.42334,                 1.7827,                0.91892,                 1.6823,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.056,                0.56638,                 1.2223,                0.89821,                0.75657,                0.86616,                0.44279,                 1.7789,                0.96847,                 1.6989,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0467,                0.54707,                 1.2247,                0.87054,                0.82312,                0.88457,                0.44012,                  1.849,                0.86452,                 1.7109,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0292,                0.54272,                 1.2128,                0.91102,                0.78284,                0.88484,                 0.4425,                 1.8146,                0.89002,                  1.697,               0.001208,               0.001208,               0.001208
                     22,                 1.0387,                0.53836,                 1.2082,                0.93329,                0.75482,                0.87391,                0.43085,                 1.8262,                0.94846,                 1.6728,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0404,                0.54566,                 1.2148,                0.90755,                0.79335,                0.87333,                0.45036,                  1.778,                0.87662,                 1.6695,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0096,                0.53021,                 1.1869,                0.90876,                0.81261,                0.89408,                0.44528,                  1.775,                0.84552,                 1.6505,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0104,                0.51696,                 1.1951,                0.88767,                0.74956,                0.84361,                0.41991,                 1.8424,                 1.0378,                 1.7243,              0.0010496,              0.0010496,              0.0010496
                     26,                0.98008,                0.51738,                 1.1693,                0.87101,                0.79235,                0.86379,                0.45504,                 1.7549,                 0.9378,                 1.6703,                0.00101,                0.00101,                0.00101
