               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07604,            0.031656,                   0,             0.38393,             0.60946,             0.35892,              0.1232,             0.05108,             0.01901,                   0,            0.070075,            0.003325,            0.003325
                   1,            0.053162,            0.023921,                   0,             0.54787,             0.77247,             0.65856,             0.30399,            0.040915,            0.013848,                   0,            0.039855,           0.0064386,           0.0064386
                   2,            0.049798,            0.021054,                   0,             0.65304,             0.80736,             0.74931,              0.3218,            0.038315,            0.013769,                   0,           0.0094152,           0.0093323,           0.0093323
                   3,            0.043447,            0.020771,                   0,             0.88099,             0.80381,             0.88941,              0.4661,            0.035466,            0.012847,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.039968,            0.020671,                   0,             0.89094,             0.81961,             0.89118,             0.40523,            0.035708,            0.012847,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.037118,            0.018483,                   0,              0.9012,             0.86261,             0.92901,             0.47219,            0.031183,             0.01294,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.038047,            0.020337,                   0,             0.89828,             0.86515,             0.91568,             0.42972,            0.033591,            0.013263,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.035719,            0.019351,                   0,             0.92248,             0.86515,             0.93198,             0.48268,            0.030588,            0.013122,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.034928,            0.019087,                   0,             0.92144,             0.85989,             0.92898,             0.45888,            0.032648,            0.012551,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.033157,            0.018727,                   0,             0.91531,             0.89492,             0.94204,             0.47664,            0.030383,            0.012533,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.033625,            0.019254,                   0,             0.92902,             0.89392,             0.94523,             0.47972,            0.030285,            0.012888,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.032122,            0.017828,                   0,             0.94231,             0.87391,             0.93992,               0.494,            0.029524,            0.012571,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.031234,            0.018184,                   0,             0.93916,              0.8922,             0.94034,             0.49394,            0.030733,            0.012336,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.030856,            0.017899,                   0,             0.93203,             0.88091,             0.93481,             0.47581,            0.030302,            0.012461,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.029588,            0.017783,                   0,             0.94699,             0.87391,             0.94654,             0.48175,            0.030097,            0.012543,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.029787,             0.01724,                   0,             0.92192,             0.90986,              0.9435,             0.49784,            0.030098,            0.012402,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.029785,            0.017696,                   0,             0.93935,             0.90193,             0.94925,             0.50478,            0.028469,            0.012598,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.028482,            0.017625,                   0,              0.9385,             0.90871,             0.94862,             0.49322,            0.028849,            0.012452,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.028288,            0.016987,                   0,             0.94773,             0.88792,              0.9548,             0.50363,            0.028752,            0.012437,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.027518,            0.016986,                   0,             0.94323,               0.902,             0.95406,             0.51133,            0.028375,            0.012138,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.027914,            0.017155,                   0,             0.92907,             0.92119,             0.95346,             0.51905,            0.028113,            0.012154,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.027525,            0.016472,                   0,             0.94326,             0.90258,             0.94979,             0.50843,            0.028353,            0.012048,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.026696,            0.016548,                   0,             0.95374,             0.90273,             0.95508,             0.51422,            0.028038,            0.012032,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.027399,            0.016663,                   0,             0.96441,             0.88967,             0.95433,              0.5134,            0.028094,            0.012285,                   0,             0.00274,             0.00274,             0.00274
                  24,               0.027,            0.016404,                   0,             0.95049,             0.90193,             0.95348,             0.51009,            0.028424,            0.012262,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.026439,             0.01637,                   0,             0.96042,             0.90018,             0.95231,             0.51761,            0.028086,            0.012238,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.026096,            0.016505,                   0,             0.94996,             0.91594,             0.95751,             0.51415,            0.028276,            0.012293,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.025803,            0.015222,                   0,             0.95621,             0.91777,             0.95797,             0.52279,            0.027755,             0.01216,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.024844,            0.015832,                   0,             0.95195,             0.90893,             0.95473,              0.5168,             0.02802,            0.012277,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.025672,            0.015832,                   0,             0.96834,             0.91062,             0.95906,             0.51359,            0.028188,            0.012227,                   0,             0.00076,             0.00076,             0.00076
