                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6986,                 2.1273,                 1.6071,                0.89403,                 0.4728,                0.68766,                0.32633,                 1.6421,                 2.4135,                 1.4684,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.6564,                 1.8488,                 1.6218,                0.66804,                0.51313,                0.58033,                0.25694,                 1.8631,                 1.9758,                 1.7558,              0.0012767,              0.0012767,              0.0012767
                      3,                 1.6994,                 1.7883,                 1.6583,                0.59759,                0.35902,                0.41191,                0.14726,                 2.2884,                 2.1102,                 2.0549,              0.0018558,              0.0018558,              0.0018558
                      4,                 1.7561,                 1.7294,                 1.6602,                0.61649,                0.43257,                0.47495,                0.15462,                 2.2544,                 2.3005,                  2.021,               0.001802,               0.001802,               0.001802
                      5,                 1.7198,                 1.6375,                 1.7002,                0.61523,                0.61296,                0.62775,                0.26513,                 1.9285,                 1.8899,                 1.7392,               0.001736,               0.001736,               0.001736
                      6,                 1.7108,                  1.578,                 1.6602,                0.64103,                0.55356,                0.60191,                0.21753,                 2.1559,                 2.1224,                 1.9936,                0.00167,                0.00167,                0.00167
                      7,                 1.6988,                 1.5566,                 1.6637,                0.75413,                  0.662,                0.72671,                0.32501,                  1.831,                 1.5547,                 1.6693,               0.001604,               0.001604,               0.001604
                      8,                 1.6589,                 1.4483,                 1.6141,                0.72399,                0.69702,                0.76477,                 0.3752,                 1.7859,                  1.309,                 1.5514,               0.001538,               0.001538,               0.001538
                      9,                 1.6335,                 1.3994,                 1.5995,                0.82874,                0.71189,                0.79288,                0.37834,                 1.7293,                  1.539,                 1.5468,               0.001472,               0.001472,               0.001472
                     10,                 1.5961,                  1.355,                  1.561,                0.78911,                0.63748,                0.72173,                0.34887,                  1.819,                 1.4696,                 1.6562,               0.001406,               0.001406,               0.001406
                     11,                 1.6113,                 1.3569,                 1.6036,                0.85938,                0.71804,                 0.8119,                0.41185,                  1.712,                  1.191,                 1.5758,                0.00134,                0.00134,                0.00134
                     12,                 1.5915,                 1.3286,                 1.5682,                0.86934,                0.73905,                0.82789,                 0.3975,                 1.7318,                 1.1791,                 1.5749,               0.001274,               0.001274,               0.001274
                     13,                 1.5387,                 1.2513,                 1.5487,                0.87281,                0.74508,                0.86099,                0.43759,                 1.6635,                 1.0933,                 1.5797,               0.001208,               0.001208,               0.001208
                     14,                 1.5427,                  1.266,                   1.56,                0.85713,                 0.7338,                0.84768,                 0.4214,                 1.7023,                 1.1309,                  1.561,               0.001142,               0.001142,               0.001142
                     15,                  1.505,                 1.1797,                 1.5274,                0.86107,                0.83713,                0.88187,                0.43677,                 1.6896,                 1.0064,                 1.5308,               0.001076,               0.001076,               0.001076
                     16,                  1.503,                 1.1582,                 1.4882,                0.88242,                0.80172,                0.87586,                 0.4431,                 1.6913,                0.99708,                 1.5169,                0.00101,                0.00101,                0.00101
                     17,                 1.5084,                 1.1529,                 1.5173,                0.86018,                0.78459,                0.85433,                 0.4123,                  1.705,                  1.103,                 1.5411,               0.000944,               0.000944,               0.000944
                     18,                 1.4601,                 1.0998,                 1.4847,                0.85232,                0.79851,                0.85641,                0.43705,                 1.6762,                 1.0822,                 1.5355,               0.000878,               0.000878,               0.000878
                     19,                   1.46,                  1.071,                 1.4745,                0.89691,                0.79234,                0.88225,                0.45055,                 1.6909,                0.98616,                 1.5451,               0.000812,               0.000812,               0.000812
                     20,                 1.4403,                 1.0606,                 1.4596,                0.94085,                0.83566,                0.91705,                0.48112,                 1.6649,                0.88744,                 1.4736,               0.000746,               0.000746,               0.000746
                     21,                 1.3915,                 0.9201,                 1.4276,                0.86512,                 0.7986,                0.88023,                0.45334,                  1.653,                0.98417,                 1.4771,                0.00068,                0.00068,                0.00068
                     22,                 1.3786,                0.84737,                 1.4373,                0.88913,                0.82487,                0.91151,                0.48506,                 1.6169,                0.91004,                 1.4679,               0.000614,               0.000614,               0.000614
                     23,                 1.3462,                0.80098,                 1.4223,                0.90773,                0.83538,                0.91402,                 0.4875,                 1.6437,                0.87424,                 1.4929,               0.000548,               0.000548,               0.000548
                     24,                 1.3143,                0.76688,                 1.3921,                0.91348,                0.81786,                 0.9231,                0.49019,                 1.6188,                0.89561,                 1.4612,               0.000482,               0.000482,               0.000482
                     25,                 1.2977,                0.74019,                 1.3851,                0.92116,                0.85114,                0.92685,                0.48856,                 1.6558,                0.84657,                 1.4732,               0.000416,               0.000416,               0.000416
                     26,                 1.2774,                0.71165,                 1.3748,                0.90849,                0.83453,                0.91934,                0.50219,                 1.6246,                0.89185,                 1.4729,                0.00035,                0.00035,                0.00035
                     27,                 1.2717,                  0.727,                 1.3723,                0.91504,                 0.8634,                0.92786,                0.49383,                 1.6611,                 0.8505,                 1.4948,               0.000284,               0.000284,               0.000284
                     28,                  1.245,                0.68656,                 1.3447,                0.92796,                 0.8347,                0.92998,                0.49951,                 1.6365,                0.82453,                 1.4709,               0.000218,               0.000218,               0.000218
                     29,                 1.2442,                0.68419,                 1.3505,                0.95282,                0.83713,                0.93454,                0.50494,                 1.6211,                0.81212,                 1.4589,               0.000152,               0.000152,               0.000152
                     30,                 1.2156,                  0.643,                 1.3179,                0.93776,                0.85989,                0.93536,                0.50268,                 1.6213,                0.79193,                 1.4606,                8.6e-05,                8.6e-05,                8.6e-05
