                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2754,                0.72703,                 1.3729,                 0.9178,                 0.8408,                0.91264,                0.45834,                 1.7119,                0.86808,                 1.5271,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.3764,                0.82328,                 1.4302,                 0.8506,                0.75306,                0.85742,                0.43175,                 1.7198,                 1.0254,                 1.5822,              0.0012549,              0.0012549,              0.0012549
                      3,                 1.4776,                0.94124,                  1.514,                0.83559,                 0.7338,                0.81728,                0.39605,                 1.8251,                 1.1157,                 1.6337,              0.0017902,              0.0017902,              0.0017902
                      4,                 1.4884,                0.95127,                 1.5418,                0.84098,                0.75306,                  0.824,                0.39799,                  1.791,                 1.1131,                 1.6086,               0.001703,               0.001703,               0.001703
                      5,                 1.5296,                0.99053,                 1.5413,                0.84836,                0.74464,                0.83011,                0.41259,                 1.7753,                 1.1496,                 1.5862,               0.001604,               0.001604,               0.001604
                      6,                 1.5233,                0.98754,                 1.5535,                 0.8244,                0.76357,                0.84074,                0.36203,                 1.8835,                 1.1954,                 1.6992,               0.001505,               0.001505,               0.001505
                      7,                 1.4819,                0.93363,                 1.5272,                 0.8555,                0.75657,                0.82826,                 0.4131,                 1.7034,                 1.1423,                 1.5708,               0.001406,               0.001406,               0.001406
                      8,                 1.4568,                0.89401,                 1.5005,                0.86851,                0.76883,                0.85009,                0.42137,                 1.7512,                 1.0263,                 1.5674,               0.001307,               0.001307,               0.001307
                      9,                 1.4213,                0.83933,                 1.4648,                0.87588,                0.76182,                0.85655,                0.43494,                 1.6864,                 1.0555,                 1.5519,               0.001208,               0.001208,               0.001208
                     10,                 1.3855,                0.83288,                 1.4727,                0.88138,                0.76883,                0.88006,                0.45353,                 1.6882,                0.97463,                 1.5522,               0.001109,               0.001109,               0.001109
                     11,                 1.3448,                0.79533,                 1.4255,                 0.8994,                0.76883,                0.86837,                0.44096,                 1.7045,                 1.0143,                 1.5679,                0.00101,                0.00101,                0.00101
                     12,                 1.3581,                0.76165,                 1.4461,                0.92153,                0.78984,                0.88602,                0.45939,                 1.6709,                0.93618,                 1.5798,               0.000911,               0.000911,               0.000911
                     13,                 1.3367,                0.73542,                 1.4143,                0.89954,                 0.7951,                0.89093,                0.46436,                 1.7093,                 0.9024,                 1.5791,               0.000812,               0.000812,               0.000812
                     14,                 1.3092,                 0.7266,                  1.408,                 0.8955,                0.81038,                0.89365,                0.46533,                 1.7188,                0.89471,                  1.566,               0.000713,               0.000713,               0.000713
                     15,                 1.2845,                0.69192,                 1.3828,                0.94268,                0.78809,                0.90306,                0.47379,                 1.6725,                0.88152,                 1.5226,               0.000614,               0.000614,               0.000614
                     16,                 1.2858,                0.69815,                 1.3833,                0.91223,                 0.7951,                0.89288,                0.47694,                 1.6614,                0.90377,                 1.5231,               0.000515,               0.000515,               0.000515
                     17,                 1.2531,                0.65498,                 1.3674,                0.88256,                 0.8056,                0.89478,                 0.4796,                 1.7025,                0.94826,                 1.5394,               0.000416,               0.000416,               0.000416
                     18,                 1.2103,                0.63434,                 1.3261,                0.92168,                 0.8021,                 0.9082,                0.48226,                  1.674,                0.84546,                 1.5328,               0.000317,               0.000317,               0.000317
                     19,                 1.1663,                0.60125,                 1.3023,                0.94524,                0.78109,                0.90371,                0.48313,                  1.688,                0.92173,                  1.536,               0.000218,               0.000218,               0.000218
                     20,                 1.1455,                0.58623,                 1.2912,                0.92428,                0.81786,                0.91449,                0.48656,                 1.6882,                0.83012,                  1.553,               0.000119,               0.000119,               0.000119
